Station,max,min,criteria01,criteria02,criteria03,criteria04,OriginalStation
130.2,133.07,122.64,125,127.0175,129.035,131.0525,130.4
127.723,126.42,118.46,119.4,121.155,122.91,124.665,128
126,124.4,115.82,117.4,119.15,120.9,122.65,126.6
109.2,84.19,79.35,82,82.5475,83.095,83.6425,109.2
108.113,86.1,78.72,79.5,81.15,82.8,84.45,108.4
104.2,80.93,72.34,76.1,77.3075,78.515,79.7225,104.4
97.6,77.59,66.26,68.7,70.9225,73.145,75.3675,97.8
93.2,74.12,63.33,65.7,67.805,69.91,72.015,93.2
89.2,70.87,60.07,62.2,64.3675,66.535,68.7025,89.2
79.88,60.4,47.53,50.2,52.75,55.3,57.85,79.88
77.8,57.11,45.36,48,50.2775,52.555,54.8325,77.8
74.6,55.07,41.16,46.3,48.4925,50.685,52.8775,74.8
60.4,42,25.88,33.4,35.55,37.7,39.85,61.8
54.6,31.13,21.07,28.1,28.8575,29.615,30.3725,54.6
53.6,31.12,21.58,27.3,28.255,29.21,30.165,53.8
47.555,30.65,17.39,22.9,24.8375,26.775,28.7125,47.6
39.6,25.45,6.47,16.6,18.8125,21.025,23.2375,40.2
33.5,21.1,5.58,12.9,14.95,17,19.05,33.5
24,15.39,1.49,8.1,9.9225,11.745,13.5675,24.5
14.797,11.16,-5.8,4.3,6.015,7.73,9.445,15
